comment,is_violation
hết dịch covid rồi thấy ai mang khẩu trang thì phải cẩn thận,0.0
xin lổi được cc j hả thằng lồn trọng tài về quê m làm trọng tài cho mấy đứa nhỏ đá đi,1.0
nam ty co khac,0.0
chị đẹp lắm đó chi,0.0
bác sĩ chữa khỏi bệnh cho một người trả tiền cho bệnh viện nó khác,0.0
shop uy tín nhiệt tình,0.0
bé này nhìn phổng phao quá chắc có người yêu rồi,1.0
được hài lòng giao sớm,0.0
mấy con chó nhìn thấy gớm,1.0
thằng làm nghề giáo dục cuồng like,1.0
đòi lại công bằng bằng cách bỏ con và chu cấp cho tr,1.0
một pha óc chó của a ý thức như ruồi của a,1.0
bênh đi nào bọn,1.0
độ bad trip,0.0
đồ tồi,1.0
gái gọi cao cấp chân dài phục vụ tận nơi,1.0
t q âm mui chê vi trung giết nhân loai toan thể giơ i đê lây lan chết nhiêu nguoi oan mang tcb ra toa thêgioi se t su,1.0
mấy đứa này vứt ra đường cho xã hội dạy,1.0
bắt sai còn xin lỗi dùm nó,1.0
mầy thì,0.0
đánh như cái đb dcu m,1.0
đo la đô ng bo n cu a no đang gia n ca nh gia bô ho i thăm đă ng cho đô ng bo n lâ y xe,0.0
lũ chó lãnh đạo đcs,1.0
mua lần thứ n rùi gói thức ăn vẫn đầy đặn như cũ cơ mà lần này bị nhiều hướng dương vs bỏng gạo quá vẫn thích shop đóng như mọi khi là nhiều loại hạt nhỏ lần này cũng hơn có quà tặng kèm đóng gói chắc chắn ninja van thì giao hàng miễn chê rùi,0.0
thích thì spam th xd,0.0
du ma lai tang thue dit con me no da an ban roi con cai con cac j de dong nua,1.0
tội mê trai,1.0
thằng chó ngọc đang bưng nồi cơm đã vở và ngồi khóc trong bịnh viện ung bướu vì hít thở không khí ô nhiễm,1.0
sản phẩm tốt máy chạy ổn bền hay k thì chưa biết nhưng trước mắt là cảm thấy hài lòng giá ổn nên mua nha,0.0
nghèo đã khổ ác thủ kg tha,1.0
con chó có linh cảm đúng ghê tội cho cô gái,0.0
bà nầy nói chuyện ko có văn hoá ko biết xấu hổ,1.0
duy trần gửi cho em xin vd với ạ,0.0
tk này ngu vcl xem steam nó đổ thừa cay dái tạo drama để nổi chứ biết là tk cc nào mà nó nổi vì ngu cũng hay,1.0
thấy trai là tớn lên,0.0
hình ảnh mang tính chất lấy xuuuuuuuuuuuuuuuuuuuuuuuuuuu,0.0
tui vẫn ủng họ cổ vũ hlv trường vs cả đội vn,0.0
sorry fuckk,1.0
yess,0.0
lấy của người khác làm của mình sợ thật,0.0
lại bảo ghép v,0.0
xin tên nhạc,0.0
đánh rank bạck kim đc bạch kim gánh sướng,0.0
giày hơi rộng với chó của mình hihi nó mang vô đi không quen nhìn mắc cười lắm,0.0
may ma ve vn la cai mo may k con cai rang an chao voi cdm,1.0
jack còn văn minh với uy tín à,0.0
haha chúng nó tính thoát trung bằng các chui vào rọ mỹ thoát thoát cái cm mấy thằng phản động não chó bày đặt chê bai,1.0
chửi hay lắm ông thằng lol này nhìn mặt đeo ưa r thêm cái tính trẻ trâu nữa,1.0
nhà dột từ nóc,1.0
mấy con dâm nữ này chỉ thích khoe thân,1.0
mong pháp luật sớm mang lại công bằng cho cháu thật xót xa,0.0
ai biểu mê trai đừng đỗ thừa winner ẹc sìn tơ nhaaaa,1.0
xinh mà ngu,1.0
võ thành phước p đánh con nunu như zày là ez win,0.0
đồ ăn cho mèo trưởng thành me o vị cá thu kg https tiki vn do an cho meo truong thanh me o vi ca thu kg p html,1.0
cô ấy mà con của chủ tịch huyện thì chiếc xe ấy trở về p nhưng con của dân thì dân chịu,0.0
cô nghỉ livestream ngày là biết cô nhìn thấy gì rồi luôn,0.0
chỉ muốn nói rằng em rấtt rất nhớ anh,0.0
diện trần óc choá thật,1.0
vff nguyễn văn cừ long an nam và các cơ e đã đồng loạt giảm cân từ trái sang phải và chọn sản của các nhà đầu tư vào lĩnh,0.0
có khúc kêu ld share live để e tính cho chị hả ta,0.0
xin là xin vĩnh biệt cụ,0.0
bro cter main ờ hớ hờ đi eim vì ty rất thích,0.0
shop phục vụ chuyên nghiệp tận tình giao đúng những gì đã đặt cảm ơn shop,0.0
trường atlantic ib b ơi,0.0
lương tháng dc có triệu,0.0
nguyễn chả bù chỗ bạn hành xe máy còn đắt hơn cả ô tô,0.0
nguyễn thịnh như con đĩ quái thai bổ xug thêm con cu nưa nhé trứng hơi to,1.0
mi bắt v r bh xl thì làm đk méo j nx,1.0
m cũng chỉ là thằng nhãi con thôi tầm suy nghĩ chưa lớn đc chắc cũng phần do cái gia đình m dạy dỗ k tử tế,1.0
thanh vinh top thách đấu đấy ba conten thôi,0.0
boxit nữa đừng quên bùn đỏ,0.0
đọc thần chú j v thầy,0.0
minh chí hahaha sao biết hay ta ơi,0.0
mốt tập nói tiếng hoa kiểu này kom tuấn hạnh kim trần,0.0
thằng chó cút mẹ về pháp đi,1.0
lũ khốn nạn,1.0
bé này lớn lên chắc chắn là hot girl đặt gạch từ giờ,1.0
đúng phải bồi thường củ tháng,0.0
bán búp bê tình dục y như thật,1.0
nói thì hay mà làm thì dở chỉ biết nhận lương hàng tháng thôi mà chẳng làm nên trò trống gì cả nếu còn lòng tự trọng ông nên rời khỏi vai trò hlv trưởng đội tuyển bóng đá việt nam đi sắp đến ngày kỷ niệm năm chiến thắng điện biên phủ rồi nhé,0.0
m đi kêu thằng virus ra mặt đối chất hộ tao cái chứ đúng quá sao xóa clip rồi trốn luôn ko chịu phản hồi khi ngta liên hệ m đọc cái thông báo cty nó mà m ko hiểu hả nhận thức m để rớt đũn quần hay gì,1.0
solo ko anh bạch,0.0
người làm việc cho nhà nước dúi tiền vào tay là nhận hả đất nước phải có csgt là đúng nhưng ng ta hối lộ mà nhận là sai nhe giờ hok lẽ dúi tiền vào tay kêu phản động chống phá phản quốc cũng làm theo hay sao,0.0
đọc xong tin nhắn mới biết mấy dạy và côn đồ từ gốc chắc mấy thằng đang trên bàn thờ nhà cháu cũng thế,1.0
có ck rồi còn muốn làm single mom nữa hả ní,0.0
lê hải nam xin vid bro,0.0
đội hình đá trận lượt về nhé coach,0.0
chơi ngu thì có gì mà phải cay ko có thực lực ko gì phải buồn cả,1.0
ngu vậy đọc và hiểu đi,1.0
mịa bao nhiều đời đéo dẹp được ông thăng lên được mấy tháng thì dẹp thế đéo nào ngay được nói ngu vl,1.0
quao thật là xạo l,1.0
huy trần đang nói rách hả đưa m vô mv xong đi nói hợp tác mặt dày không biết nhục ta ơi,1.0
chúng mày là con hoang còn bọn tao là con nhà nước mày hiểu chứ,1.0
giờ sorry k giải quyết đc vấn đề gì nữa đâu muộn rồi,0.0
,0.0
paula lưu người miền đéo nào mà chả ăn cơm ông này bị hài à dựa vào thịt chó chỉ là cái cớ để phân biệt vùng miền không bằng cả con chó rách,1.0
shop giao đủ đồ lược chải rận ve okkk chải đx ve còn rận thì kg biết thuốc nhỏ gáy chưa dùng nên kg biết hy vọng hiệu quả vòng cổ mùi dễ chịu mấy bé cũng chịu đeo thấy hiệu quả đc xương gặm cho chó nhưng mua cho mèo vì mèo mình rất thích gặm đồ xương mềm thơm mùi sữa,0.0
j nhà bọn m hiền đéo j có vụ gì thì chả tap lại t coi nó hiền đéo đâu đăng bên trang cá nhân stt đó ngay sau khi video của viruss xem video âm nhạc của jack đéo phải bóng gió mà nói thẳng là kiếm tiền ít nên kiếm fame có nhận thức về đọc hiểu thì về đọc lại đi nhé bóng gió đéo gì nên nhớ vụ k hồi âm là đến bây giờ mới liên hệ chứ k phải lúc đó gặp trực tiếp ngta ng lớn đéo j lên viết stt nhắc lại là t đéo phải fan ng t cũng đang mong bọn não ngắn như chúng m vào cắn viruss để t hóng tiếp,1.0
hk được nói cức fan nó nhảy dựng lên đó nói phân thì được,1.0
ngu cứ thích thể hiệu toxic ngu học chơi game bớt ảo tưởng mặt lồn zero,1.0
tìm bắt luôn hai đứa trên xe là ra thằng kia,0.0
m thằng dốt nó ko pik đăng tào lao e ak chứ móng trụ ko đạt dựng trụ nó sập oy đâu dựng lên thành hình rồi kéo dây đổ thừa con bò kéo sập trụ đúng là mấy thằng ngu như bò,1.0
du ma may ve viet nam tao la nguoi dau tien bat may,1.0
lỗi cc,1.0
tình yêu hãy nói về nhism korea,0.0
đm chúng mày thế mà zam làm xã hội thâm,1.0
sao cứng họng nên hahaa à con ngu này,0.0
chị này lấy văn mẫu ở đâu vậy,0.0
lỗi cái daubuoo,1.0
mày có não không,1.0
dàn cảnh rất nhuần nhuyễn,0.0
dáng người thì cao đấy nhưng chất thì như lồn,1.0
dương tiến đạt đến con người vs con người bạn con phân biệt vùng miền ấy thế mà đi thương con chó,1.0
đánh thì ngu như con chó bày đặt,1.0
ngoc chu đme đang ăn sáng,1.0
trông đánh con aatrox,0.0
hà phạm,0.0
tác giả đang nói thằng niễng và thằng cố vấn của nó,1.0
về ngặm hoài xin cũng đem đi giấu luôn k cho lấy hình ảnh chỉ mang tính chất lấy xu,0.0
